model_timestamp;rmse;f1;Cm
model_1707350991;0.15665208999759148;0.6666666666666666;[[155   0]
 [  4   4]]
model_1707351066;0.26111648393354675;0.0;[[41  0]
 [ 3  0]]
model_1707351144;0.13483997249264842;0.6666666666666666;[[106   0]
 [  2   2]]
